"feature_name","mean_2050","mean_2055","mean_2060","mean_2065","mean_2070","mean_2075","mean_2080","mean_2085","mean_2090","mean_2095","mean_2100","mean_2105","mean_2110","mean_2115","mean_2120","mean_2125","mean_2130","mean_2135","mean_2140","mean_2145","mean_2150","mean_2155","mean_2160","mean_2165","mean_2170","mean_2175","mean_2180","mean_2185","mean_2190","mean_2195","mean_2200"
"gamma_g",0.002024124,0.0033681924,0.005673867,0.008972572,0.013756673,0.019307276,0.02439759,0.030468347,0.03549455,0.040373802,0.04535704,0.05036411,0.056643605,0.062687546,0.06715231,0.07288219,0.079011716,0.08511601,0.08926045,0.094240785,0.100281455,0.10685083,0.11097395,0.11651549,0.12206726,0.12469157,0.13062473,0.13429706,0.14190497,0.14599243,0.1507451
"t_peak",0.0018501332,0.0032918723,0.006243682,0.011181623,0.019706275,0.032406654,0.04972045,0.068950236,0.090717375,0.11444553,0.13799292,0.16213208,0.188853,0.2147647,0.24128643,0.26759267,0.29789388,0.3251513,0.34895036,0.37770838,0.40427843,0.43187284,0.45725468,0.4841311,0.5108658,0.53510743,0.55952805,0.58505046,0.61049294,0.63560736,0.65281165
"gamma_d",0.00020497084,0.00029673573,0.0004521285,0.000800389,0.001494823,0.0028153271,0.00480851,0.008305752,0.0120151425,0.017323693,0.023659814,0.030265693,0.038736623,0.04686983,0.057036683,0.06832561,0.08126816,0.09268251,0.104624294,0.11931295,0.13245584,0.14543937,0.16015881,0.17486663,0.18876927,0.20340873,0.21844387,0.23631817,0.24950117,0.2587724,0.27904564
"sd_temp",8.6031876e-5,0.00015589921,0.00029304525,0.00020727802,0.00012433979,0.00014317465,0.00024963397,0.00024200128,0.00019017776,0.0002338305,0.0001576228,0.00014323075,0.000116732546,0.00036544702,0.00034017075,0.00024268644,0.0002448847,0.0003764416,0.00032612635,0.0005162899,0.00036773068,0.00064250565,0.00025876504,0.00038074292,0.00080326403,0.0007818234,0.0015724563,0.0016573548,0.0011481886,0.0014641341,0.0018008621
"sd_ocean_heat",0.00016497943,0.00017326651,0.00018904282,0.00016301866,0.000154597,0.00018869354,0.00029515938,0.0005222988,0.0004987611,0.0003207191,0.0007876046,0.00048064365,0.0010812267,0.00076273736,0.0009186162,0.0013304091,0.0011893061,0.001180182,0.0014154544,0.0016498402,0.0017473996,0.0019977386,0.0016147331,0.0018882791,0.0025558064,0.0024482391,0.0021939052,0.0025889764,0.0020959298,0.0022293977,0.0022777978
"sd_glaciers",0.00010994109,6.965533e-5,0.00010682826,8.561769e-5,0.000106943175,0.00012232727,0.00012010213,0.00021448307,0.00015713203,0.00026057442,0.00021762795,0.00016124694,0.00022774606,0.0003919834,0.00026336728,0.000363794,0.00040227413,0.00020096274,0.00043593574,0.0004558611,0.00051662495,0.0006559145,0.00040884523,0.0006721544,0.00072333886,0.00047844142,0.00026891613,0.000703628,0.0004091675,0.0008879289,0.0003638992
"sd_greenland",0.00015689153,4.743684e-5,0.00011716001,0.00019805718,0.0002111762,0.00019695035,0.00017745915,0.0001205219,7.3294046e-5,0.0002826007,0.00018087798,0.00030660105,0.00028375382,0.00030390525,0.00018178289,0.00018945104,0.00034267255,0.00031734482,0.00072150305,0.00059402187,0.00048685828,0.00053318514,0.0004151082,0.00056703127,0.00044495257,0.00061817496,0.00055825413,0.0011145844,0.0006848163,0.000850326,0.0007807865
"sd_antarctic",0.0014174402,0.0013998956,0.0015408464,0.0016520353,0.0013882084,0.0014721322,0.0012972124,0.0012817271,0.0013325365,0.0018350651,0.001300396,0.0014007823,0.0018168736,0.002492968,0.0020523586,0.0024375403,0.0033286526,0.0022991204,0.003091483,0.0024348465,0.00262404,0.0040361527,0.00375405,0.0038807942,0.0031161217,0.004638716,0.0044179647,0.0041428655,0.0059403526,0.006044191,0.005000588
"sd_gmsl",0.0009214391,0.0007367832,0.0007249338,0.0005600015,0.0006425256,0.00059487764,0.0005205201,0.00032068306,0.0002647759,0.0002831932,0.00046471757,0.00046870098,0.00038143722,0.0005390115,0.00040700723,0.00048226552,0.0008040743,0.00093802414,0.000538166,0.00051761715,0.00042796545,0.00046983728,0.0007236358,0.00061110285,0.0010085704,0.0005414737,0.0011121611,0.001296683,0.0010771787,0.001486155,0.000998993
"rho_temperature",8.606091e-5,0.00019116077,0.0001812954,0.00019384931,0.00019242842,0.00016634511,0.00014555364,0.00022685053,0.00020626203,0.00032187914,0.00042177085,0.0005468893,0.0008570946,0.0006199956,0.00085658417,0.0008798545,0.00076484965,0.00075055694,0.000920125,0.0011319475,0.0009885445,0.0011065945,0.00081852515,0.00077777024,0.001061453,0.0014387782,0.0014195426,0.0018911583,0.0017130309,0.001532855,0.0016809265
"rho_ocean_heat",7.6155135e-5,0.0001285486,0.0001029052,9.383704e-5,0.00018810233,0.00012386958,0.00016553546,0.00016560276,0.00021511712,0.0002962392,0.00023887944,0.00025903297,0.00022891533,0.00030862403,0.00048518478,0.00040738715,0.00028687157,0.0005895312,0.0003637381,0.00069688103,0.0006038977,0.00067139644,0.0006123495,0.0008683602,0.00081478537,0.00069499854,0.001262308,0.0010035788,0.0015546391,0.00075009133,0.0009135803
"rho_glaciers",0.00027119793,0.00010874643,0.00015438149,0.00017731216,0.00015174439,0.00022450647,0.00018685091,0.000190959,0.00022401958,0.0002372921,0.0003992543,0.0003537234,0.00036623288,0.00020005729,0.00030560966,0.00040372525,0.00042250843,0.00094951876,0.00057424896,0.00076225627,0.00056290586,0.0012346294,0.0006691425,0.00072414754,0.00086851453,0.001528771,0.0013160595,0.0014792059,0.0012494193,0.0017155597,0.0013399483
"rho_greenland",0.00037469275,0.00047156602,0.00043993615,0.0005054618,0.0005993245,0.0005108412,0.0005571477,0.0007959839,0.0005142629,0.00096970215,0.0009797856,0.0016944316,0.0012138266,0.0017446378,0.0017006786,0.0018642605,0.0020839623,0.0022578072,0.001442373,0.0018565624,0.002469112,0.001997851,0.003786304,0.0041935514,0.0026516037,0.0032247405,0.0032731046,0.003033776,0.0047137747,0.0033461167,0.0034345528
"rho_antarctic",0.0009940491,0.0010074174,0.00097196415,0.0010519869,0.0011177096,0.0008922901,0.00045792822,0.00044001208,0.00035539301,0.00044887027,0.00036935968,0.0002822351,0.00042037125,0.00014876615,0.00013076937,0.00035570146,0.0003354103,0.00042970342,0.00033804632,7.656799e-5,0.00047856703,0.0005766744,0.00042445536,0.00074481487,0.00077479036,0.00061943854,0.00045144776,0.00063946063,0.0008267725,0.0011727987,0.0008533431
"rho_gmsl",0.0026694562,0.0024251686,0.0017153936,0.0014636355,0.0008281847,0.0005427832,0.0005112898,0.0003267744,0.00037298363,0.00039519396,0.00062821765,0.0008927354,0.0004896404,0.0008950425,0.0010918835,0.0014595024,0.0021028565,0.0022922012,0.0023926762,0.0040377597,0.0035456086,0.0041663144,0.0042112186,0.0037028084,0.006439315,0.0047438005,0.0057932013,0.004607404,0.0060322713,0.007470266,0.007033507
"CO2_0",0.00027887913,0.00018763314,0.00021519317,0.00045054502,0.00036320995,0.00036410426,0.0005464387,0.00059146597,0.0006348895,0.00081397174,0.0005833245,0.000644808,0.00094955397,0.0006255741,0.0009372309,0.00094289915,0.0011266937,0.0011749491,0.0009886309,0.0015759983,0.0017105553,0.0020900117,0.001241765,0.0018355903,0.0012672701,0.00242705,0.0022027227,0.0025179924,0.0016711431,0.002110208,0.0025570588
"N2O_0",0.0002402831,0.00017824063,0.00020466174,0.00024721608,4.352287e-5,0.000101534286,0.00022585907,0.00019189582,0.00011349761,0.00024759522,0.00016684663,0.00013220847,0.00011567605,0.00029435457,0.00024681888,0.0002276638,0.00031087123,0.00016590714,0.00028262637,0.0004947088,0.0004887336,0.00024906822,0.0004062962,0.00040521965,0.00048708334,0.00040898428,0.00060811266,0.000690313,0.0007656511,0.00069700164,0.0013336521
"temperature_0",0.0001278797,0.00018276204,0.00012719422,0.00030439525,0.0005625,0.0009906685,0.0013070969,0.0018865964,0.001872619,0.0025512557,0.0020400712,0.0017588635,0.0024372598,0.0021328498,0.0015678498,0.0012988384,0.0020369496,0.002024667,0.0015021848,0.0013986721,0.0021384477,0.0029128026,0.0015772182,0.0021918076,0.002104783,0.0017590873,0.0024601915,0.0021826026,0.001899074,0.00076377555,0.0023484565
"ocean_heat_0",0.00012582936,0.0001428886,0.00015285048,0.00021895311,0.00035869854,0.00035416297,0.00024141521,0.0002513401,0.00032548906,0.00025646604,0.00019110255,0.00035938458,0.00037730226,0.00039409546,0.0004384694,0.00039386435,0.00057270774,0.0007149027,0.0007393396,0.000573789,0.00043187136,0.00068978046,0.0009993148,0.0010570694,0.0006788373,0.0006865876,0.0006222474,0.0005757673,0.00083402824,0.001033613,0.0008459505
"thermal_s0",5.9740807e-5,6.862188e-5,7.109005e-5,8.665393e-5,0.00014874032,0.00016655121,0.00012718028,7.574905e-5,0.00014024336,9.223102e-5,0.00015738286,5.1464645e-5,0.00015405366,0.00022523636,9.040253e-5,0.00041021267,0.00048331099,0.00045546776,0.00054508523,0.0006386791,0.00077459734,0.0011358939,0.0009891274,0.0008574171,0.00045182675,0.0010587248,0.00079832325,0.0012328932,0.0008434574,0.0006988507,0.0009867721
"greenland_v0",0.00088146876,0.0012981801,0.0016224575,0.0019601423,0.0026599616,0.0035176422,0.0037886153,0.0037920768,0.0049482575,0.005444404,0.006171616,0.0075207436,0.007973555,0.0091806855,0.009979809,0.011271655,0.010985637,0.012151385,0.012639311,0.014974542,0.014923966,0.015367025,0.016795222,0.0166003,0.016554644,0.0185077,0.018483756,0.018952593,0.021645755,0.022407722,0.022196313
"glaciers_v0",0.00027804574,0.00043588146,0.0005072412,0.00044698696,0.00058392127,0.000522382,0.0009009333,0.0010625306,0.0012727855,0.0014132656,0.0014153257,0.001154775,0.0015901764,0.0017600245,0.0017506306,0.0020415299,0.002277469,0.0028300923,0.0024663124,0.003009206,0.0038266915,0.0035702286,0.0040117195,0.0048964615,0.006397068,0.0052797883,0.00609447,0.006745766,0.0075868736,0.006691805,0.009513525
