"feature_name","mean_2050","mean_2060","mean_2070","mean_2080","mean_2090","mean_2100","mean_2110","mean_2120","mean_2130","mean_2140","mean_2150"
"γ_g",0.007210716,0.018636258,0.032049086,0.042909484,0.0533201,0.06169007,0.07463557,0.08539159,0.09417616,0.10460982,0.11119844
"t_peak",0.0062308596,0.018565571,0.037420385,0.06081198,0.0848984,0.10913159,0.13676621,0.15993415,0.18379363,0.207601,0.22576514
"γ_d",0.00046566548,0.00063003687,0.0022292908,0.0065657585,0.014105417,0.023545334,0.033569276,0.046873387,0.06013761,0.07594272,0.08975076
"sd_temp",0.00015496393,8.0281694e-5,0.00015004867,0.00019475212,0.00019674202,0.00026526206,0.00017375544,0.00026503814,0.0002315205,0.00012319168,0.00015664172
"sd_ocean_heat",0.00016147632,0.00016398529,0.00010658674,6.7946065e-5,6.309634e-5,0.00016929,0.00016089564,0.00013601371,0.00013055354,0.0007171763,0.00017278017
"sd_glaciers",0.00010870011,6.823445e-5,9.359527e-5,0.00012059609,0.00022595692,0.00020783575,0.00040642367,0.00034035573,0.00046352454,0.0005488037,0.00037755343
"sd_greenland",0.00019002496,0.00033199415,0.00041066855,0.0004637806,0.0003918496,0.00061041117,0.00069681474,0.00089137594,0.0007786852,0.0005315897,0.00060788554
"sd_antarctic",0.0034172647,0.002758436,0.0028938667,0.0027183674,0.0026643593,0.0028208222,0.0031787332,0.003974794,0.0037847646,0.0042156097,0.005175457
"sd_gmsl",0.00024451115,0.00020065239,0.00019316214,0.0001673157,0.00032808728,0.0002536652,0.00024167159,0.00019741993,0.0007521038,0.0008996177,0.00056118815
"rho_temperature",0.00012362826,6.462679e-5,0.00012323682,0.00014640205,0.00013117964,6.438147e-5,0.00014428765,0.00021092492,0.000190858,0.00054190157,0.00033058514
"rho_ocean_heat",0.00014319565,0.00015598685,0.000103986284,0.00016846113,0.00017580329,0.00015913103,0.00018885138,0.000118917655,0.00016200653,0.0001984255,7.022017e-5
"rho_glaciers",0.00016838775,0.00013065214,7.635851e-5,0.00016203329,0.00014221421,0.00012362165,0.00012626291,6.296978e-5,0.0002596701,0.0003876519,0.00032532946
"rho_greenland",0.0005613885,0.0007211357,0.00068932876,0.00035631453,0.0005372331,0.0003602646,0.000599575,0.00062046445,0.0004232953,0.00093191053,0.0017415695
"rho_antarctic",0.0012035111,0.00080423144,0.00060250494,0.00041845875,0.00025042956,0.00034630293,0.001039295,0.00027393483,0.0005985621,0.00033620573,0.0010025387
"rho_gmsl",0.0013635694,0.0006468309,0.0005756774,0.0003157396,0.00035121207,0.0011027725,0.001475444,0.0016386688,0.001829311,0.0027847474,0.0018118414
