"feature_name","mean_2050","mean_2055","mean_2060","mean_2065","mean_2070","mean_2075","mean_2080","mean_2085","mean_2090","mean_2095","mean_2100","mean_2105","mean_2110","mean_2115","mean_2120","mean_2125","mean_2130","mean_2135","mean_2140","mean_2145","mean_2150","mean_2155","mean_2160","mean_2165","mean_2170","mean_2175","mean_2180","mean_2185","mean_2190","mean_2195","mean_2200"
"γ_g",0.0022516495,0.004059594,0.006977349,0.011244171,0.015849514,0.021520888,0.0266794,0.032668095,0.03713357,0.041084547,0.046315663,0.050754298,0.055440035,0.061310112,0.064706855,0.06988598,0.07402486,0.07750889,0.0845246,0.08692682,0.093311965,0.09721106,0.101369485,0.10557649,0.10935596,0.116606064,0.12180453,0.12375568,0.13007575,0.13453333,0.13892874
"t_peak",0.0033752525,0.006924793,0.013773091,0.023335185,0.03595015,0.052733008,0.071308695,0.09168966,0.11208148,0.13282739,0.15423325,0.1754561,0.19507496,0.21332891,0.23305796,0.25447014,0.27196923,0.2917084,0.3112746,0.3304178,0.34737802,0.36762506,0.38390276,0.40064025,0.4169931,0.4354125,0.4532624,0.4717497,0.49110624,0.50934607,0.5295679
"γ_d",0.0001039055,0.0002522649,0.00077267026,0.001939789,0.0039036386,0.006503991,0.010232489,0.015356339,0.0215998,0.02772228,0.033768177,0.04141414,0.04879616,0.058447987,0.06576228,0.07469051,0.083832406,0.09046421,0.10030829,0.10842241,0.11803197,0.12874556,0.13586809,0.14379886,0.15232639,0.15924278,0.16728805,0.17292108,0.18184128,0.18869822,0.19212964
"sd_temp",0.00012637718,7.414935e-5,8.492453e-5,8.1943756e-5,0.00013047986,0.00019594877,9.904963e-5,0.00020755507,0.000216158,0.0001704019,0.00033683347,0.0005189731,0.00050390244,0.0005273058,0.00064765866,0.0003456602,0.0011206875,0.00064796314,0.00097232516,0.0011704484,0.0011390508,0.001252363,0.001060827,0.0013029925,0.0019939747,0.0010241444,0.0013347797,0.0014599831,0.0014955543,0.0018061824,0.0027797495
"sd_ocean_heat",5.8379872e-5,9.2597795e-5,0.00015099936,0.00021695287,0.00031159652,0.0003455936,0.00035930792,0.00052377355,0.0003176095,0.00045251308,0.00075081224,0.00055873767,0.000918736,0.0007572127,0.0006350032,0.0011726269,0.0011350923,0.0005900576,0.0009998514,0.0008910454,0.001267052,0.0014447548,0.00093189155,0.0013130798,0.0014341479,0.0020394213,0.0016180702,0.0018370728,0.0019780016,0.0010930948,0.0014539
"sd_glaciers",0.00012552601,0.000100744975,0.00018020721,8.450207e-5,9.5750846e-5,7.750057e-5,6.510033e-5,0.00017942612,0.00015200928,0.00014969002,0.00028326135,0.0003868777,0.00051077054,0.00023876557,0.00049892836,0.00044748225,0.0004212492,0.00046744858,0.00041755842,0.00065449544,0.0006254159,0.0006371937,0.00102356,0.0009480876,0.00076647406,0.0005989811,0.0011704057,0.00079779414,0.0012947473,0.00141602,0.0016742245
"sd_greenland",0.00015583631,0.00010582483,0.0001290011,0.00015179561,0.00019302311,0.000115166105,0.00029562725,4.7138063e-5,0.00027022202,0.0002900435,0.0004533289,0.0006000494,0.0007114654,0.0006958449,0.00061954506,0.0012347412,0.0011501396,0.00079590897,0.0010977533,0.0017264469,0.001920211,0.0021952626,0.0014639721,0.0017849327,0.0021182622,0.0035410535,0.002127668,0.0031456987,0.0041728113,0.004112233,0.002705611
"sd_antarctic",0.0015225399,0.0018900997,0.002174729,0.0026169254,0.0030087996,0.0033015418,0.0036122415,0.0039209584,0.004181737,0.0041454686,0.005548719,0.0054234136,0.006065957,0.0064406404,0.006957321,0.0057766926,0.0066985926,0.00644117,0.007856667,0.0067555765,0.007881758,0.0074486067,0.008338205,0.009732675,0.00841386,0.008461543,0.01021888,0.009054509,0.009360103,0.009627529,0.010675265
"sd_gmsl",0.00033154973,0.00019880582,0.0001556179,0.00012032814,0.00020446832,0.00018638882,0.00011360434,0.00022247867,0.00013449922,0.00020891843,8.210279e-5,0.00024512544,0.00026941614,0.0005142337,0.00042805128,0.00045983618,0.00043060712,0.0002663794,0.0006246705,0.00049678376,0.00039574088,0.00034890705,0.00057603477,0.0006198448,0.0009428812,0.00047366697,0.00080471503,0.0008618337,0.00046314765,0.0007001289,0.0009275815
"rho_temperature",3.9020793e-5,9.2473e-5,9.201749e-5,0.00014623145,0.00011689881,0.00012258741,0.00011732373,9.608494e-5,0.0001334574,0.00033295428,0.00056821184,0.00034769624,0.0005699062,0.00044352436,0.0005602916,0.00057226274,0.0005937401,0.00080633565,0.00074709544,0.0011015404,0.0008828828,0.00081338873,0.00069207855,0.0012034151,0.0008797829,0.0012158586,0.001434128,0.0013469413,0.0010163535,0.0012439042,0.0015502729
