"feature_name","mean_2050","mean_2055","mean_2060","mean_2065","mean_2070","mean_2075","mean_2080","mean_2085","mean_2090","mean_2095","mean_2100","mean_2105","mean_2110","mean_2115","mean_2120","mean_2125","mean_2130","mean_2135","mean_2140","mean_2145","mean_2150","mean_2155","mean_2160","mean_2165","mean_2170","mean_2175","mean_2180","mean_2185","mean_2190","mean_2195","mean_2200"
"γ_g",0.0049328217,0.009551077,0.01726492,0.028031347,0.039817896,0.052505396,0.06553001,0.07776921,0.08975595,0.101058796,0.113229945,0.124943845,0.13769458,0.14936396,0.15891668,0.17175761,0.18289068,0.19287048,0.20371719,0.21643598,0.22807695,0.241702,0.24864197,0.26303822,0.27145714,0.28460342,0.29628286,0.30312464,0.31818053,0.32490712,0.33735105
"t_peak",0.0029290023,0.006543684,0.0126972385,0.022506293,0.03641074,0.05363754,0.07380426,0.09527089,0.116965,0.14212668,0.16502546,0.19126055,0.21763228,0.24230494,0.2688248,0.29094413,0.31949678,0.34262288,0.36717802,0.39321908,0.41951305,0.44218534,0.46659458,0.4881786,0.515407,0.5383131,0.5582401,0.5848087,0.6089498,0.6329063,0.65125877
"γ_d",0.00013915551,0.00012225783,0.00012940049,0.0002694127,0.0012006243,0.003063643,0.0068307845,0.0115881115,0.018263342,0.02594647,0.035745043,0.0469927,0.0579829,0.07091598,0.08372073,0.09862959,0.11479954,0.13028094,0.1474129,0.16669615,0.18383984,0.20169741,0.22132774,0.2402564,0.25607666,0.27565113,0.29200992,0.3116198,0.3272292,0.3460604,0.3619182
"sd_temp",9.232474e-5,0.000112992406,9.334766e-5,5.598161e-5,7.432467e-5,0.00010254852,0.00011633377,9.490372e-5,7.7500394e-5,0.00019764826,0.00022851139,0.0003586167,0.000610773,0.00026274426,0.0002892484,0.0006754621,0.000497929,0.0007602333,0.00044968538,0.0006785756,0.0009830133,0.0011688832,0.0008902466,0.0013971552,0.00085582235,0.0017907306,0.0012597529,0.0009141209,0.0011067989,0.0014547663,0.0013723038
"sd_ocean_heat",7.449634e-5,0.0002408452,0.0002187496,0.00018758299,0.00019877544,0.0002121249,0.00016916571,0.00023517477,0.00033499158,0.00031456997,0.0003254095,0.00036554298,0.00046283647,0.0004614281,0.00035040645,0.0005709792,0.00027044467,0.0003794576,0.00049130095,0.0010762572,0.00053261564,0.00081222726,0.000408918,0.0006740662,0.0011399136,0.0012846089,0.000658052,0.0012273585,0.0011437184,0.0011441382,0.0013889266
"sd_glaciers",9.184456e-5,4.9868788e-5,0.00010176334,8.456082e-5,0.00010287192,0.00014649022,0.00020564666,0.00010205738,0.00014856327,0.0002253488,0.00023428797,0.00012379861,0.00036991495,0.00057157344,0.0004871868,0.0002972765,0.00029572667,0.00047816735,0.00075372943,0.00046039047,0.0005224352,0.00031238637,0.00018599138,0.00055088557,0.0004265658,0.0006461734,0.00064864464,0.00045293017,0.000538215,0.0010017828,0.00091102906
"sd_greenland",0.00012689407,0.0001470249,0.0003803718,0.00052397454,0.0003585214,0.0005403307,0.0007238852,0.0002350706,0.00042340136,0.00027814723,0.0011875816,0.00073433056,0.0010737686,0.00093060586,0.0011379115,0.0016504244,0.0012755895,0.001656118,0.0023569218,0.0021718387,0.0021880076,0.0024341885,0.0037596298,0.0011347915,0.0021009166,0.0026466448,0.002052194,0.0021676642,0.002872893,0.0015446473,0.002496942
"sd_antarctic",0.0016148067,0.0019903996,0.002068573,0.0026116127,0.0021989942,0.0028730812,0.0037150998,0.00400534,0.0047167824,0.0060794395,0.0047922246,0.006195516,0.0069118487,0.008291502,0.0069165984,0.0075453613,0.00702192,0.009243415,0.010356939,0.008123666,0.0094384095,0.009284108,0.009186726,0.0086238785,0.00935992,0.012617683,0.011024287,0.012485593,0.012530061,0.010950726,0.014030901
"sd_gmsl",0.00023672807,0.00020033117,0.00020120325,0.00020302413,0.00013459148,0.00021416957,0.00033071652,0.0003544167,0.00024277742,0.00017445121,0.00023448153,0.0003074023,0.00026204594,0.00027224072,0.0003517285,0.00023569279,0.00061503955,0.0004776061,0.0007578643,0.0014160906,0.0007432753,0.0007187122,0.0010803738,0.0010778644,0.0017316658,0.0012051692,0.0019059437,0.0016871168,0.0017120859,0.0035580338,0.0020946153
"rho_temperature",4.069583e-5,6.157916e-5,7.747458e-5,0.0001299898,0.00015974818,7.8521916e-5,0.00039071037,0.00012393444,0.00021774399,0.000245387,0.00015196991,0.0003079306,0.0005540464,0.00035659486,0.0001924661,0.00026578788,0.0008967014,0.00023821158,0.00042006455,0.00038169924,0.00043797473,0.0005793645,0.0006367083,0.000708601,0.00054297847,0.00088807556,0.0008140527,0.00076837867,0.000876156,0.0012410702,0.00021313019
